"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"07/25/2024","Sell","NVDA","NVIDIA CORP","100","$109.31","$0.32","$10930.68"
"07/25/2024","Sell","NVDA","NVIDIA CORP","100","$113.00","$0.33","$11299.67"
"07/24/2024","Buy","QQQ","INVSC QQQ TRUST SRS 1 ETF","1","$469.24","","-$469.24"
"07/23/2024","Buy","VOO","VANGUARD S&P ...500 ETF","3","$509.69","","-$1529.07"
"07/19/2024","Journal","","TRANSFER FUNDS TO SCHWAB BANK - ...196","","","","-$1000.00"
"07/19/2024","MoneyLink Deposit","","META","","","","$500.00"
"07/17/2024","Journal","912828Y87","US TREASUR NT 1.75%07/24UST NOTE DUE 07/31/24","-48,000","","",""
"07/17/2024","Journal","912828Y87","US TREASUR NT 1.75%07/24UST NOTE DUE 07/31/24","48,000","","",""
"07/17/2024","Journal","VOO","VANGUARD S&P ...500 ETF","-15","","",""
"07/17/2024","Journal","VOO","VANGUARD S&P ...500 ETF","15","","",""
"07/17/2024","Journal","IOT","SAMSARA INC CLASS A","-20","","",""
"07/17/2024","Journal","IOT","SAMSARA INC CLASS A","20","","",""
"07/17/2024","Journal","NVDA","NVIDIA CORP","-299","","",""
"07/17/2024","Journal","NVDA","NVIDIA CORP","299","","",""
"07/17/2024","Journal","QQQ","INVSC QQQ TRUST SRS 1 ETF IV","-24","","",""
"07/17/2024","Journal","QQQ","INVSC QQQ TRUST SRS 1 ETF IV","24","","",""
"07/17/2024","Journal","FFIE","FARADAY FUTURE INTELLIGE","-68","","",""
"07/17/2024","Journal","FFIE","FARADAY FUTURE INTELLIGE","68","","",""
"07/16/2024","Journal","SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","29.72","","",""
"07/16/2024","Journal","SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","-29.72","","",""
"07/16/2024 as of 07/15/2024","Schwab Bank Int Adj","","BANK INT ...524","","","","-$0.45"
"07/16/2024 as of 07/15/2024","Bank Interest","","BANK INT ...524 SCHWAB BANK","","","","$1.86"
"07/15/2024","Sell","SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","10,000","$1.00","","$10000.00"
"07/15/2024","Tax Withhold","SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","","","","-$9.39"
"07/15/2024","Reinvest Dividend","SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","","","","$39.11"
"07/15/2024","Reinvest Shares","SWVXX","SCHWAB VALUE ADVANTAGE MONEY INVESTOR SHARES","29.72","$1.00","","-$29.72"
"07/15/2024","Journal","","TRANSFER FUNDS FROM SCHWAB BANK - ...196","","","","$500.00"
"07/05/2024","Journal","","TRANSFER FUNDS TO SCHWAB BANK - ...196","","","","-$500.00"
"07/05/2024","MoneyLink Deposit","","META","","","","$500.00"
"07/02/2024","Tax Withhold","VOO","VANGUARD S&P ...500 ETF","","","","-$6.42"
